TimeStamp, X, Y, Z
8/13/2020 23:54,0.04,0.037,1.011
8/13/2020 23:54,0.038,0.044,1.012
8/13/2020 23:54,0.036,0.042,1.013
8/13/2020 23:54,0.039,0.042,1.015
8/13/2020 23:54,0.038,0.042,1.011
8/13/2020 23:54,0.038,0.043,1.013
8/13/2020 23:54,0.039,0.035,1.015
8/13/2020 23:54,0.036,0.042,1.017
8/13/2020 23:54,0.035,0.038,1.016
8/13/2020 23:54,0.036,0.041,1.011
8/13/2020 23:54,0.039,0.043,1.011
8/13/2020 23:54,0.038,0.043,1.011
8/13/2020 23:54,0.036,0.037,1.018
8/13/2020 23:54,0.037,0.04,1.011
8/13/2020 23:54,0.039,0.041,1.012
8/13/2020 23:54,0.033,0.041,1.014
8/13/2020 23:54,0.036,0.04,1.009
8/13/2020 23:54,0.04,0.041,1.013
8/13/2020 23:54,0.037,0.038,1.007
8/13/2020 23:54,0.037,0.04,1.012
8/13/2020 23:54,0.036,0.037,1.015
8/13/2020 23:54,0.033,0.042,1.013
8/13/2020 23:54,0.04,0.043,1.015
8/13/2020 23:54,0.037,0.04,1.018
8/13/2020 23:54,0.042,0.041,1.009
8/13/2020 23:54,0.043,0.038,1.017
8/13/2020 23:54,0.037,0.035,1.018
8/13/2020 23:54,0.038,0.041,1.021
8/13/2020 23:54,0.038,0.041,1.014
8/13/2020 23:54,0.041,0.038,1.014
8/13/2020 23:54,0.036,0.041,1.009
8/13/2020 23:54,0.034,0.041,1.016
8/13/2020 23:54,0.039,0.04,1.016
8/13/2020 23:54,0.036,0.045,1.018
8/13/2020 23:54,0.042,0.039,1.013
8/13/2020 23:54,0.036,0.037,1.006
8/13/2020 23:54,0.04,0.039,1.009
8/13/2020 23:54,0.039,0.042,1.015
8/13/2020 23:54,0.04,0.038,1.016
8/13/2020 23:54,0.039,0.042,1.022
8/13/2020 23:54,0.035,0.043,1.015
8/13/2020 23:54,0.038,0.041,1.01
8/13/2020 23:54,0.034,0.038,1.001
8/13/2020 23:54,0.036,0.037,1.014
8/13/2020 23:54,0.032,0.04,1.011
8/13/2020 23:54,0.036,0.043,1.016
8/13/2020 23:54,0.045,0.04,1.01
8/13/2020 23:54,0.038,0.042,1.013
8/13/2020 23:54,0.04,0.042,1.014
8/13/2020 23:54,0.035,0.041,1.017
8/13/2020 23:54,0.037,0.04,1.011
8/13/2020 23:54,0.04,0.043,1.01
8/13/2020 23:54,0.036,0.039,1.011
8/13/2020 23:54,0.037,0.04,1.016
8/13/2020 23:54,0.036,0.039,1.011
8/13/2020 23:54,0.04,0.04,1.015
8/13/2020 23:54,0.035,0.043,1.009
8/13/2020 23:54,0.036,0.046,1.011
8/13/2020 23:54,0.031,0.043,1.012
8/13/2020 23:54,0.039,0.04,1.012
8/13/2020 23:54,0.041,0.044,1.017
8/13/2020 23:54,0.038,0.044,1.012
8/13/2020 23:54,0.035,0.042,1.014
8/13/2020 23:54,0.043,0.04,1.01
8/13/2020 23:54,0.034,0.04,1.01
